Type,Image,Pixel,Time
bottle,0.9904761904761904,0.9294267596994304,0.0149999999994179
cable,0.866191904047976,0.8977183799383618,0.0
capsule,0.8380534503390507,0.9102268724075732,0.0149999999994179
carpet,0.839486356340289,0.9544443414674804,0.0160000000032596
grid,0.6131996658312449,0.6049948579584883,0.0
hazelnut,0.9610714285714284,0.9228422493661969,0.0
leather,0.8678668478260869,0.9425162780294348,0.0
metal_nut,0.9042033235581622,0.8539266803356597,0.0
pill,0.8196944899072558,0.91409528660669,0.0
screw,0.7985242877638861,0.8802853286856235,0.0149999999994179
tile,0.928932178932179,0.8731471140734727,0.0
toothbrush,0.9333333333333332,0.9513627503562162,0.0
transistor,0.9058333333333334,0.9542648294739094,0.0
wood,0.9842105263157894,0.8364731858782674,0.0
zipper,0.8860294117647058,0.9011101444992212,0.0
Average,0.8758071152227276,0.8884556705850684,0.0040666666667675
