Type,Image,Pixel,Time
bottle,0.9928571428571428,0.98131341220387,0.0
cable,0.8879310344827586,0.9512114614032589,0.0149999999994179
capsule,0.909453530115676,0.9777738521489422,0.0160000000032596
carpet,0.971107544141252,0.9809118573113416,0.0149999999994179
grid,0.8312447786131997,0.9591954555978351,0.0310000000026775
hazelnut,0.8096428571428571,0.9690877351999634,0.0159999999887077
leather,0.9945652173913044,0.9923826932930282,0.0160000000032596
metal_nut,0.9305962854349952,0.9700781798514332,0.0
pill,0.9263502454991815,0.9447784524082417,0.0160000000032596
screw,0.6673498667759786,0.9752481836328476,0.0
tile,0.9213564213564214,0.9085439848264356,0.0
toothbrush,0.9194444444444444,0.9892011624761404,0.0160000000032596
transistor,0.9241666666666666,0.9218730132650172,0.0
wood,0.9780701754385964,0.9546421294806344,0.0160000000032596
zipper,0.7064075630252101,0.97993928305992,0.0160000000032596
Average,0.8913695848923789,0.963745390410594,0.0115333333339852
