Type,Image,Pixel,Time
bottle,0.9984126984126984,0.9830896992242844,0.0
cable,0.8566341829085458,0.9584240813523636,0.0149999999994179
capsule,0.8763462305544475,0.9783454672185532,0.0160000000032596
carpet,0.9835473515248796,0.9837849799367356,0.0
grid,0.9582289055973268,0.9768385963426408,0.0
hazelnut,0.8274999999999999,0.9694897006291542,0.0
leather,0.9904891304347826,0.9945376970110236,0.0160000000032596
metal_nut,0.9496578690127078,0.9654455149045812,0.0
pill,0.9181669394435352,0.9407719683025084,0.0149999999994179
screw,0.7261733961877435,0.9793540756859512,0.0
tile,0.943001443001443,0.9179255715631696,0.0
toothbrush,0.9305555555555556,0.9894366329111668,0.0149999999994179
transistor,0.925,0.9228576491433328,0.0
wood,0.974561403508772,0.9567432001488084,0.0149999999994179
zipper,0.6930147058823529,0.9822197106475498,0.0
Average,0.9034193208016528,0.9666176363347884,0.0061333333336127
