Type,Image,Pixel,Time
bottle,0.9992063492063492,0.9829434839732836,0.0160000000032596
cable,0.8620689655172413,0.9503440586005844,0.0
capsule,0.8791384124451536,0.9778253118633776,0.0149999999994179
carpet,0.9361958266452648,0.9577286845354688,0.0
grid,0.8020050125313283,0.9001738686040863,0.0
hazelnut,0.7682142857142857,0.9641700563329316,0.0
leather,0.9775815217391304,0.9878072140833996,0.0149999999994179
metal_nut,0.9164222873900292,0.9549345755105338,0.0160000000032596
pill,0.861974904528096,0.9114353897954296,0.0160000000032596
screw,0.5435540069686411,0.9611063662340904,0.0159999999887077
tile,0.931818181818182,0.8799871485607066,0.0159999999887077
toothbrush,0.8833333333333334,0.987891131059308,0.0
transistor,0.8929166666666667,0.9182283369804806,0.0
wood,0.9587719298245614,0.934502309749762,0.0
zipper,0.6628151260504201,0.967014539968163,0.0
Average,0.8584011206919121,0.9490728317234404,0.007333333332402
