Type,Image,Pixel,Time
bottle,0.9984126984126984,0.9805361774357456,0.0149999999994179
cable,0.813343328335832,0.8909517120972505,0.0149999999994179
capsule,0.8579976067012365,0.9754366332465016,0.0160000000032596
carpet,0.9735152487961476,0.9721162302812528,0.0
grid,0.7568922305764412,0.9018259484117408,0.0
hazelnut,0.7778571428571429,0.9593529161970806,0.0159999999887077
leather,0.9809782608695652,0.9782874883146364,0.0
metal_nut,0.9687194525904204,0.95090791463422,0.0
pill,0.8464266230223677,0.9173758178166204,0.0
screw,0.646443943431031,0.9607334244622834,0.0
tile,0.9213564213564212,0.8946313874926272,0.0160000000032596
toothbrush,0.9166666666666666,0.987898135007636,0.0
transistor,0.8725,0.9104704906720548,0.0
wood,0.9692982456140352,0.9401153716608268,0.0
zipper,0.8022584033613446,0.9731433450101734,0.0149999999994179
Average,0.8735110848394234,0.9462521995160434,0.0061999999995653
