Type,Image,Pixel,Time
bottle,0.9793650793650792,0.983473418121014,0.0310000000026775
cable,0.7625562218890555,0.7670950426719297,0.0310000000026775
capsule,0.8564020741922617,0.9779131690307532,0.0309999999881256
carpet,0.953852327447833,0.9689607517763884,0.0320000000065192
grid,0.8654970760233918,0.8744255790240893,0.0310000000026775
hazelnut,0.8539285714285714,0.950766414755004,0.0149999999994179
leather,0.9993206521739132,0.9888445003717596,0.0310000000026775
metal_nut,0.9389051808406648,0.9385886117336302,0.0149999999994179
pill,0.795417348608838,0.9153153546469992,0.0149999999994179
screw,0.6538225046116009,0.9543795059994338,0.0160000000032596
tile,0.8737373737373737,0.8975860310294582,0.0160000000032596
toothbrush,0.9611111111111112,0.989293549582775,0.0319999999919673
transistor,0.8875000000000001,0.937946977920439,0.0159999999887077
wood,0.9771929824561404,0.9049401425207364,0.0309999999881256
zipper,0.8597689075630253,0.9764804957890434,0.0160000000032596
Average,0.8812251607632571,0.9350673029982304,0.0239333333321459
