Type,Image,Pixel,Time
bottle,1.0,0.9648970263721474,0.0310000000026775
cable,0.9473388305847076,0.9337426515933452,0.0160000000032596
capsule,0.90666134822497,0.9665430034709692,0.0310000000026775
carpet,0.9991974317817016,0.9725133560800134,0.0310000000026775
grid,0.9924812030075189,0.9417081560624452,0.0160000000032596
hazelnut,0.6907142857142856,0.9342868315886308,0.0160000000032596
leather,1.0,0.9748512437970928,0.0310000000026775
metal_nut,0.9120234604105572,0.9191848359246924,0.0160000000032596
pill,0.9064375340971086,0.9137913957859376,0.0310000000026775
screw,0.800163968026235,0.9462684267380418,0.0159999999887077
tile,0.987012987012987,0.913623879761042,0.0160000000032596
toothbrush,0.9944444444444444,0.9747936141301516,0.0160000000032596
transistor,0.96625,0.965462088548125,0.0159999999887077
wood,0.981578947368421,0.9115938512606546,0.0160000000032596
zipper,0.9716386554621848,0.960089368942404,0.0310000000026775
Average,0.9370628730756748,0.9462233153370464,0.0220000000010865
