Type,Image,Pixel,Time
bottle,0.9992063492063492,0.9816563928250022,0.0160000000032596
cable,0.958583208395802,0.967389651613736,0.0
capsule,0.9026725169525328,0.980820429204932,0.0309999999881256
carpet,0.9759229534510432,0.9866830293466616,0.0149999999994179
grid,0.924812030075188,0.9515423585546,0.0160000000032596
hazelnut,0.9560714285714288,0.9779496521713844,0.0
leather,0.994904891304348,0.9897770647030224,0.0
metal_nut,0.9809384164222872,0.9647101484160184,0.0160000000032596
pill,0.9369885433715222,0.9546358540525528,0.0160000000032596
screw,0.8858372617339618,0.9882905161248556,0.0
tile,0.965007215007215,0.9317082350969236,0.0
toothbrush,0.9805555555555556,0.9865245466856732,0.0149999999994179
transistor,0.9858333333333332,0.9730101444104328,0.0159999999887077
wood,0.9894736842105264,0.9409171584819624,0.0160000000032596
zipper,0.9188550420168068,0.9828398444534752,0.0
Average,0.95704416197386,0.9705636684094155,0.0104666666661311
