Type,Image,Pixel,Time
bottle,0.9992063492063492,0.9745431330803228,0.0310000000026775
cable,0.9377811094452774,0.964822790898429,0.0160000000032596
capsule,0.9202233745512564,0.97027591297332,0.0149999999994179
carpet,0.987158908507223,0.9847503332125414,0.0160000000032596
grid,0.9440267335004178,0.9525864492193158,0.0160000000032596
hazelnut,0.8371428571428572,0.9580864327663744,0.0149999999994179
leather,0.9911684782608696,0.988203534178384,0.0149999999994179
metal_nut,0.9853372434017597,0.9265076963030742,0.0149999999994179
pill,0.9159847244953626,0.963906748935682,0.0310000000026775
screw,0.8798934207829473,0.9759289119741292,0.0160000000032596
tile,0.9585137085137084,0.9191481749501766,0.0160000000032596
toothbrush,1.0,0.9766166105509674,0.0310000000026775
transistor,0.98875,0.9758526750810068,0.0160000000032596
wood,0.9921052631578948,0.9278899984462692,0.0160000000032596
zipper,0.8797268907563025,0.9709709190443132,0.0160000000032596
Average,0.9478012707814816,0.9620060214409536,0.018733333335452
