Type,Image,Pixel,Time
bottle,1.0,0.98313757325654,0.0
cable,0.900112443778111,0.9694034130973186,0.0160000000032596
capsule,0.9090546469884324,0.9851088049219388,0.0160000000032596
carpet,0.9911717495987158,0.9846952721550344,0.0
grid,0.9941520467836258,0.9822094779154948,0.0
hazelnut,0.7675000000000001,0.9723561848515122,0.0
leather,0.9993206521739132,0.9925846520327928,0.0160000000032596
metal_nut,0.9623655913978496,0.9545578703517504,0.0
pill,0.9138025095471904,0.9662608831253948,0.0
screw,0.767370362779258,0.9803051166045686,0.0149999999994179
tile,0.9917027417027418,0.932095461562576,0.0160000000032596
toothbrush,0.9833333333333332,0.9883456988328172,0.0
transistor,0.9558333333333332,0.9748920758884568,0.0
wood,0.9885964912280704,0.9468048291328124,0.0149999999994179
zipper,0.9206932773109244,0.9842490313348572,0.0159999999887077
Average,0.9363339453303666,0.973133756337591,0.0073333333333721
