Type,Image,Pixel,Time
bottle,0.9904761904761904,0.97140188194382,0.0
cable,0.6098200899550225,0.7904595765889905,0.0
capsule,0.8448344635021938,0.9572813885619004,0.0160000000032596
carpet,0.841091492776886,0.8618177523044904,0.0
grid,0.7811194653299915,0.7790728122560526,0.0
hazelnut,0.8603571428571428,0.975731710982488,0.0159999999887077
leather,0.970108695652174,0.938838737644428,0.0
metal_nut,0.7282502443792767,0.91067182903177,0.0
pill,0.7468630660120021,0.9528038000308604,0.0
screw,0.612625538020086,0.960205734067491,0.0
tile,0.9527417027417028,0.8879642321787551,0.0149999999994179
toothbrush,0.9916666666666666,0.9842648119638568,0.0
transistor,0.8674999999999999,0.8627252380081409,0.0160000000032596
wood,0.98859649122807,0.925099617979054,0.0
zipper,0.8589810924369747,0.960976988208496,0.0149999999994179
Average,0.8430021561356255,0.9146210741167063,0.0051999999996041
