Type,Image,Pixel,Time
bottle,0.9912698412698412,0.9757365301885762,0.0149999999994179
cable,0.6261244377811095,0.8055374061616057,0.0
capsule,0.8376545672118069,0.9454365906019128,0.0149999999994179
carpet,0.7407704654895666,0.8454232827681013,0.0149999999994179
grid,0.7368421052631579,0.7810040748270021,0.0159999999887077
hazelnut,0.7982142857142858,0.9694193312638848,0.0
leather,0.8692255434782608,0.9247811711398476,0.0160000000032596
metal_nut,0.7350928641251222,0.8873303598705495,0.0160000000032596
pill,0.7572285870158211,0.9487581687702412,0.0160000000032596
screw,0.5982783357245338,0.9564300650835036,0.0
tile,0.9711399711399712,0.8585046851513675,0.0
toothbrush,0.9861111111111112,0.9823286511508778,0.0149999999994179
transistor,0.8675,0.8382571823491206,0.0160000000032596
wood,0.98859649122807,0.9199725119507608,0.0159999999887077
zipper,0.8574054621848739,0.9509399199694516,0.0149999999994179
Average,0.8240969379158354,0.9059906620831204,0.0113999999991695
