Type,Image,Pixel,Time
bottle,0.9912698412698412,0.981898273941324,0.0
cable,0.7143928035982009,0.9273191298074271,0.0149999999994179
capsule,0.8272836059034703,0.9745590911936088,0.0160000000032596
carpet,0.8286516853932585,0.9058887714369954,0.0160000000032596
grid,0.7986633249791144,0.7517144323673901,0.0160000000032596
hazelnut,0.8360714285714286,0.9731793314562418,0.0160000000032596
leather,0.9833559782608696,0.9885076892718332,0.0149999999994179
metal_nut,0.8142717497556208,0.9521405870647924,0.0
pill,0.848063284233497,0.9606704652048962,0.0
screw,0.6247181799549089,0.9544714810933096,0.0160000000032596
tile,0.9751082251082251,0.9578571855288414,0.0160000000032596
toothbrush,0.9972222222222222,0.9838335599153096,0.0160000000032596
transistor,0.8779166666666667,0.9261827340229,0.0
wood,0.9929824561403509,0.9444598607380512,0.0160000000032596
zipper,0.8768382352941176,0.963461362659591,0.0
Average,0.8657873124901195,0.9430762637135008,0.0105333333349941
