Type,Image,Pixel,Time
bottle,1.0,0.9815838241124092,0.0160000000032596
cable,0.8759370314842578,0.9597414724782954,0.0160000000032596
capsule,0.934982050259274,0.9884566313596056,0.0320000000065192
carpet,1.0,0.9876046349578383,0.0160000000032596
grid,0.974937343358396,0.9733236120160856,0.0160000000032596
hazelnut,0.985,0.9847226085183308,0.0160000000032596
leather,1.0,0.989978211603723,0.0160000000032596
metal_nut,0.9941348973607038,0.9782696519054146,0.0160000000032596
pill,0.9399890889252592,0.9738830564465384,0.0149999999994179
screw,0.8520188563230169,0.984432891343942,0.0
tile,0.9906204906204904,0.9537575551171956,0.0160000000032596
toothbrush,0.9888888888888888,0.9899157359945028,0.0149999999994179
transistor,0.9883333333333334,0.967578644140996,0.0149999999994179
wood,0.9956140350877192,0.9405295280114024,0.0160000000032596
zipper,0.9359243697478992,0.9851086163845948,0.0160000000032596
Average,0.9637586923592828,0.9759257782927252,0.0158000000024912
