Type,Image,Pixel,Time
bottle,0.9984126984126984,0.9797569041007572,0.0160000000032596
cable,0.8690029985007497,0.9601321697497174,0.0159999999887077
capsule,0.8970881531711209,0.9864709632942726,0.0149999999994179
carpet,1.0,0.9874194737637332,0.0149999999994179
grid,0.962406015037594,0.9636616476494624,0.0160000000032596
hazelnut,0.8728571428571428,0.978711248896174,0.0149999999994179
leather,0.9976222826086956,0.989135267702734,0.0160000000032596
metal_nut,0.9951124144672532,0.9707996540792286,0.0
pill,0.9416257501363884,0.9593489530846224,0.0149999999994179
screw,0.7800778848124617,0.980676769975963,0.0
tile,0.9729437229437228,0.9427964093988612,0.0
toothbrush,0.9694444444444444,0.9879699032163104,0.0160000000032596
transistor,0.9729166666666668,0.9763226699662092,0.0160000000032596
wood,0.9938596491228068,0.9351346767790352,0.0149999999994179
zipper,0.91859243697479,0.9802747537525336,0.0
Average,0.9427974840104356,0.9719074310273076,0.0114000000001396
