Type,Image,Pixel,Time
bottle,1.0,0.9816102837143174,0.0159999999887077
cable,0.8393928035982009,0.9614451394904734,0.0149999999994179
capsule,0.8827283605903471,0.9833829838189784,0.0149999999994179
carpet,0.9775280898876404,0.987209873350554,0.0149999999994179
grid,0.9507101086048456,0.9652854887525846,0.0159999999887077
hazelnut,0.8607142857142858,0.9745833254579503,0.0
leather,1.0,0.9912826310315492,0.0160000000032596
metal_nut,0.985826001955034,0.9672659682754592,0.0149999999994179
pill,0.8947081287506821,0.953607881632736,0.0
screw,0.6687845870055339,0.9677822236108842,0.0149999999994179
tile,0.994949494949495,0.9164929911866369,0.0
toothbrush,0.9805555555555556,0.984952199523266,0.0160000000032596
transistor,0.9704166666666668,0.9697804821691716,0.0
wood,0.9956140350877194,0.9503483525543756,0.0
zipper,0.9178046218487396,0.9782415104938468,0.0
Average,0.9279821826809832,0.9688847556708524,0.0092666666654016
