Type,Image,Pixel,Time
bottle,1.0,0.9835426651401002,0.0159999999887077
cable,0.8502623688155923,0.95962146628596,0.1720000000059371
capsule,0.9226166733147187,0.9887136933245168,0.0319999999919673
carpet,1.0,0.989683511470163,0.0149999999994179
grid,0.9724310776942356,0.9734598181115314,0.0160000000032596
hazelnut,0.9917857142857144,0.9858456765443158,0.0159999999887077
leather,1.0,0.987201673175475,0.2189999999973224
metal_nut,0.981427174975562,0.9728582741740454,0.0160000000032596
pill,0.9544462629569012,0.9680741227727454,0.0149999999994179
screw,0.8315228530436565,0.9815640599483854,0.0159999999887077
tile,0.9852092352092352,0.9574276246946036,0.0160000000032596
toothbrush,1.0,0.9904844025325792,0.0149999999994179
transistor,0.99,0.964645526305232,0.0160000000032596
wood,0.992982456140351,0.9458551171055282,0.0159999999887077
zipper,0.9288340336134454,0.9834195098547648,0.0160000000032596
Average,0.9601011900032942,0.975493142762663,0.0407999999976406
