Type,Image,Pixel,Time
bottle,1.0,0.980157399112724,0.0
cable,0.8367691154422788,0.9520994945754424,0.0160000000032596
capsule,0.9034702832070204,0.9845829026422396,0.0160000000032596
carpet,1.0,0.9846375314675684,0.0160000000032596
grid,0.9565580618212196,0.9632872667835152,0.0160000000032596
hazelnut,0.9014285714285714,0.9764238650957304,0.0149999999994179
leather,1.0,0.9896158498772386,0.0149999999994179
metal_nut,0.9897360703812316,0.964840189657181,0.0159999999887077
pill,0.9277141298417894,0.954065298409126,0.0149999999994179
screw,0.7507686001229761,0.9764027305006096,0.0149999999994179
tile,0.996031746031746,0.9389431172760868,0.0160000000032596
toothbrush,0.975,0.9860821393978232,0.0160000000032596
transistor,0.9570833333333332,0.9754311887698552,0.0
wood,0.9947368421052633,0.9413166026400908,0.0149999999994179
zipper,0.9474789915966386,0.9785461640398148,0.0159999999887077
Average,0.9424517163541376,0.9697621160163366,0.0135333333329375
