Type,Image,Pixel,Time
bottle,0.9968253968253968,0.98081855599571,0.0310000000172294
cable,0.8487631184407796,0.926554067195263,0.0320000000065192
capsule,0.8990825688073395,0.9842117605152254,0.0320000000065192
carpet,1.0,0.9897587606978868,0.0160000000032596
grid,0.888888888888889,0.9638909803921552,0.0309999999881256
hazelnut,0.9792857142857144,0.9764193710416056,0.0320000000065192
leather,1.0,0.989735369791873,0.0160000000032596
metal_nut,0.978494623655914,0.9484021541310064,0.0160000000032596
pill,0.9048008728859792,0.9228767414980016,0.0310000000172294
screw,0.8300881328141012,0.9810373610721946,0.0159999999741558
tile,0.963924963924964,0.9515675857507871,0.0150000000139698
toothbrush,0.975,0.9872453897341268,0.0309999999881256
transistor,0.9770833333333332,0.940451042785065,0.0310000000172294
wood,0.9956140350877192,0.9493442079519618,0.0310000000172294
zipper,0.8713235294117647,0.9808081784490577,0.0150000000139698
Average,0.9406116785574596,0.9648747684667948,0.0250666666717734
