Type,Image,Pixel,Time
bottle,0.9992063492063492,0.9804676167727449,0.0310000000026775
cable,0.910232383808096,0.9675419068243988,0.0159999999887077
capsule,0.8954926206621461,0.9850532940929744,0.0310000000026775
carpet,0.9879614767255216,0.9864401459861584,0.0159999999887077
grid,0.974937343358396,0.9622720951928028,0.0149999999994179
hazelnut,0.9757142857142856,0.9825774596474918,0.0160000000032596
leather,1.0,0.986789156526903,0.0310000000026775
metal_nut,0.998533724340176,0.9758397089863312,0.0160000000032596
pill,0.9307146753955264,0.960357594730237,0.0160000000032596
screw,0.837466693994671,0.9811973592356824,0.0160000000032596
tile,0.9924242424242424,0.942525943303109,0.0149999999994179
toothbrush,0.9888888888888888,0.9873071878192216,0.0460000000020954
transistor,0.985,0.9770798143720704,0.0149999999994179
wood,0.987719298245614,0.9339437478404692,0.0160000000032596
zipper,0.8891806722689075,0.9792081368319648,0.0160000000032596
Average,0.9568981770021878,0.9725734112108372,0.020800000000357
