Type,Image,Pixel,Time
bottle,0.9984126984126984,0.9795825140259924,0.0160000000032596
cable,0.8275862068965517,0.9583281924602904,0.0150000000139698
capsule,0.8775428799361787,0.9855745700563532,0.0309999999881256
carpet,0.9967897271268058,0.987498130615176,0.014999999984866
grid,0.9832915622389308,0.972671075676054,0.0160000000032596
hazelnut,0.9760714285714286,0.9781998129887124,0.0150000000139698
leather,0.9996603260869564,0.987345005703863,0.0150000000139698
metal_nut,0.9887585532746822,0.9726148973719164,0.0159999999741558
pill,0.9168030551009276,0.9493353110665652,0.0160000000032596
screw,0.7511785201885632,0.981713781315418,0.0159999999741558
tile,0.9747474747474748,0.947929792295909,0.0160000000032596
toothbrush,0.9972222222222222,0.9871322778063288,0.0160000000032596
transistor,0.9641666666666666,0.9661816212971844,0.014999999984866
wood,0.986842105263158,0.949515966517923,0.0160000000032596
zipper,0.8941701680672269,0.984908517862918,0.0160000000032596
Average,0.9422162396533648,0.972568764470707,0.0166666666647264
