Type,Image,Pixel,Time
bottle,1.0,0.9813727100445224,0.0310000000172294
cable,0.8761244377811094,0.9550894367210054,0.0309999999881256
capsule,0.8990825688073395,0.9867965482603502,0.0470000000204891
carpet,1.0,0.9902157720323536,0.0150000000139698
grid,0.987468671679198,0.9763442768755676,0.0310000000172294
hazelnut,0.93,0.9832508901859058,0.0320000000065192
leather,0.9996603260869564,0.9912526213731818,0.0150000000139698
metal_nut,0.993646138807429,0.9710544795722322,0.0320000000065192
pill,0.9459901800327332,0.952424662664562,0.0160000000032596
screw,0.8573478171756508,0.982416031960648,0.0159999999741558
tile,0.946969696969697,0.9513815597057091,0.014999999984866
toothbrush,0.9861111111111112,0.9893929485343264,0.0309999999881256
transistor,0.96375,0.9703033540676598,0.0309999999881256
wood,0.9903508771929824,0.9512837947522528,0.0309999999881256
zipper,0.8773634453781513,0.9832261966180764,0.0309999999881256
Average,0.950257684734824,0.9743870188912236,0.0269999999999223
