Type,Image,Pixel,Time
bottle,0.996031746031746,0.9785272447237024,0.0160000000032596
cable,0.8830584707646176,0.9534159352210856,0.0160000000032596
capsule,0.8970881531711208,0.984836836501241,0.0470000000059371
carpet,0.9923756019261638,0.9889961117613696,0.0160000000032596
grid,0.9682539682539684,0.9698831976719804,0.0149999999994179
hazelnut,0.9121428571428573,0.9822898906842286,0.0
leather,0.9993206521739132,0.9908254513400504,0.0149999999994179
metal_nut,0.9789833822091888,0.9696080872286076,0.0149999999994179
pill,0.8794326241134751,0.9518932072596004,0.0160000000032596
screw,0.8034433285509326,0.9849902858320156,0.0159999999887077
tile,0.9621212121212122,0.9339893234637636,0.0
toothbrush,0.9583333333333334,0.9884479185297972,0.0149999999994179
transistor,0.9370833333333332,0.9711033465119976,0.0149999999994179
wood,0.9982456140350876,0.9509676686756156,0.0160000000032596
zipper,0.9109768907563024,0.9843156514093884,0.0
Average,0.9384594111944836,0.9722726771209628,0.0145333333338688
