Type,Image,Pixel,Time
bottle,0.9984126984126984,0.9819343288926188,0.0320000000065192
cable,0.8693778110944528,0.9651728517834302,0.0310000000172294
capsule,0.8843238930993219,0.9861257026885576,0.0469999999913852
carpet,1.0,0.9860040560037988,0.0310000000172294
grid,0.971595655806182,0.9698735575621756,0.0150000000139698
hazelnut,0.9571428571428572,0.982574884036624,0.0160000000032596
leather,0.9989809782608696,0.9901287235684622,0.0309999999881256
metal_nut,0.9960899315738024,0.9728544578077049,0.0320000000065192
pill,0.8644298963447898,0.9460696966801688,0.0310000000172294
screw,0.8044681287149007,0.9802547902796734,0.0150000000139698
tile,0.954184704184704,0.950942412732996,0.0150000000139698
toothbrush,0.9916666666666666,0.9878719877164328,0.0160000000032596
transistor,0.9658333333333332,0.969736228749335,0.0310000000172294
wood,0.9929824561403509,0.9500623089959918,0.0310000000172294
zipper,0.9059873949579832,0.9856358344548728,0.0310000000172294
Average,0.9436984270488608,0.9736827881301896,0.0270000000096236
