Type,Image,Pixel,Time
bottle,1.0,0.9766436830576566,0.0
cable,0.9467766116941528,0.9668197159718428,0.0149999999994179
capsule,0.8787395293179099,0.9805432942553144,0.0
carpet,0.9373996789727128,0.9729719973793406,0.0
grid,0.9197994987468672,0.9269379167582864,0.0
hazelnut,0.9489285714285716,0.9818492501993428,0.0149999999994179
leather,0.9993206521739132,0.9790767606247976,0.0
metal_nut,0.979960899315738,0.9760767216934846,0.0
pill,0.8873431533006002,0.9603337443415252,0.0160000000032596
screw,0.8233244517319123,0.9669575518615812,0.0
tile,0.9805194805194803,0.9192120645389388,0.0149999999994179
toothbrush,0.9833333333333332,0.984871781418902,0.0160000000032596
transistor,0.985,0.981279103319134,0.0
wood,0.9982456140350878,0.914323277253184,0.0149999999994179
zipper,0.8836659663865546,0.9686498169279596,0.0
Average,0.943490496063789,0.963769778640086,0.0061333333336127
