Type,Image,Pixel,Time
bottle,0.9968253968253968,0.9560643154713644,0.0
cable,0.8755622188905547,0.9033337317628184,0.0
capsule,0.8970881531711209,0.9488894800869456,0.0
carpet,0.9382022471910112,0.9705872697916126,0.0
grid,0.8354218880534671,0.7856379938000462,0.0
hazelnut,0.9703571428571428,0.9320483608120992,0.0
leather,0.981657608695652,0.9655837768507708,0.0160000000032596
metal_nut,0.9330400782013686,0.8823570243222515,0.0
pill,0.8617021276595745,0.9357976819110032,0.0
screw,0.8085673293707727,0.9313701242347512,0.0
tile,0.9451659451659452,0.8407999237662465,0.0
toothbrush,0.9,0.9560047105246176,0.0149999999994179
transistor,0.9391666666666668,0.953292710695117,0.0
wood,0.9938596491228068,0.8548395457931296,0.0
zipper,0.8865546218487396,0.9280711598180484,0.0149999999994179
Average,0.9175447382480147,0.9163118539760547,0.0030666666668063
