Type,Image,Pixel,Time
bottle,0.9976190476190476,0.949082528906295,0.0
cable,0.9359070464767616,0.9304095121189616,0.0
capsule,0.879936178699641,0.955056540840646,0.0149999999994179
carpet,0.910513643659711,0.9627714322450468,0.0
grid,0.7076023391812866,0.6658578841696056,0.0
hazelnut,0.9635714285714286,0.956867813820414,0.0
leather,0.8614130434782609,0.8934880243712677,0.0
metal_nut,0.9555229716520038,0.893310027284527,0.0
pill,0.8442444080741953,0.9445332071246156,0.0
screw,0.7735191637630663,0.9210261678075896,0.0160000000032596
tile,0.972943722943723,0.8738175652003239,0.0
toothbrush,0.961111111111111,0.9696743092604088,0.0
transistor,0.9420833333333334,0.97183204224625,0.0
wood,0.986842105263158,0.8068528567402181,0.0
zipper,0.911502100840336,0.928308708189082,0.0
Average,0.906955442977804,0.90819257468835,0.0020666666668451
