Type,Image,Pixel,Time
bottle,1.0,0.957530586809872,0.0149999999994179
cable,0.8806221889055472,0.9242053903559662,0.0
capsule,0.9178300757877942,0.9742771187138844,0.0160000000032596
carpet,0.7487961476725522,0.9027610854375696,0.0160000000032596
grid,0.6641604010025063,0.5893067286665112,0.0149999999994179
hazelnut,0.9671428571428572,0.9565303859490168,0.0
leather,0.7866847826086958,0.9101158073795476,0.0
metal_nut,0.8802541544477028,0.9346744300897636,0.0
pill,0.9056192034915438,0.9348781830095972,0.0149999999994179
screw,0.7974994875999181,0.9288520674988548,0.0
tile,0.9332611832611832,0.8841384480116755,0.0
toothbrush,0.8916666666666667,0.97158506532195,0.0
transistor,0.9229166666666668,0.9695506908193324,0.0
wood,0.9780701754385964,0.8242719410404249,0.0
zipper,0.9017857142857142,0.9321572664672284,0.0
Average,0.8784206469985297,0.9063223463714132,0.0051333333336515
