Type,Image,Pixel,Time
bottle,0.9984126984126984,0.98152775106471,0.0160000000032596
cable,0.9218515742128937,0.9675800120926078,0.0160000000032596
capsule,0.9150378938970882,0.9855535463633336,0.0310000000026775
carpet,0.9991974317817016,0.9900140167521924,0.0149999999994179
grid,0.9573934837092732,0.9647489557825528,0.0160000000032596
hazelnut,0.9332142857142856,0.9794674259739206,0.0149999999994179
leather,1.0,0.9892390433540788,0.0160000000032596
metal_nut,0.9916911045943304,0.9705623260320736,0.0
pill,0.9435351882160392,0.9614395511494804,0.0160000000032596
screw,0.8438204550112729,0.9831894439714952,0.0
tile,0.9736652236652236,0.9385233882710896,0.0
toothbrush,0.9722222222222224,0.9874326522429022,0.0160000000032596
transistor,0.9775,0.9747769864490572,0.0160000000032596
wood,0.987719298245614,0.9409450611711344,0.0160000000032596
zipper,0.9086134453781513,0.9842233806420588,0.0160000000032596
Average,0.9549249536707196,0.973281569420846,0.0136666666687233
