Type,Image,Pixel,Time
bottle,0.9976190476190476,0.4729492320993984,0.01600000000325963
cable,0.780359820089955,0.5868786558573954,0.015000000013969839
capsule,0.8887116074990028,0.6029300424516416,0.01600000000325963
carpet,0.9907704654895667,0.563151383465855,0.01600000000325963
grid,0.6641604010025062,0.510583513253077,0.014999999955762178
hazelnut,0.9546428571428572,0.7981225991864608,0.01600000000325963
leather,1.0,0.581735344093926,0.014999999955762178
metal_nut,0.8401759530791789,0.4566238233394273,0.01600000000325963
pill,0.7294053464266231,0.6658592291645663,0.015000000013969839
screw,0.686411149825784,0.5554426253922197,0.01600000000325963
tile,0.9891774891774892,0.5459098910141784,0.015000000013969839
toothbrush,0.9472222222222222,0.6821465243499621,0.01600000000325963
transistor,0.9220833333333334,0.4918282309896105,0.0
wood,0.9833333333333333,0.5711195320734415,0.01600000000325963
zipper,0.9734768907563025,0.41739335170662617,0.01600000000325963
Average,0.8898366611331469,0.5668449318958525,0.014599999998851369
