Type,Image,Pixel,Time
bottle,0.9801587301587302,0.4443685044725511,0.0159999999741558
cable,0.8693778110944528,0.5936535221361493,0.030999999988125637
capsule,0.8145193458316714,0.6286288547336972,0.01600000000325963
carpet,0.9201444622792938,0.5149953437105963,0.01600000000325963
grid,0.5413533834586466,0.5399115213263689,0.01600000000325963
hazelnut,0.9521428571428572,0.7721008720575935,0.01600000000325963
leather,0.9527853260869565,0.48353360281720414,0.01600000000325963
metal_nut,0.7580645161290323,0.5053047243654334,0.015000000013969839
pill,0.7334969994544462,0.5840414962529313,0.0
screw,0.7442098790735807,0.5369124757947878,0.01600000000325963
tile,0.9678932178932179,0.526817113971942,0.0159999999741558
toothbrush,0.9111111111111112,0.4641655272658763,0.0159999999741558
transistor,0.8908333333333334,0.5308796963128328,0.0
wood,0.9289473684210526,0.604212784124859,0.0159999999741558
zipper,0.9330357142857143,0.4682655128954198,0.0
Average,0.8598716037169398,0.5465194368158828,0.013733333327885096
