Type,Image,Pixel,Time
bottle,0.98015873015873,0.44181566611873135,0.01600000000325963
cable,0.8095952023988007,0.5055418765774428,0.015000000013969839
capsule,0.8356601515755884,0.656837326864159,0.015000000013969839
carpet,0.9241573033707865,0.5399607802248757,0.015000000013969839
grid,0.4820384294068505,0.5590490107827263,0.014999999984866008
hazelnut,0.9185714285714286,0.6236920721621941,0.0159999999741558
leather,0.9300271739130436,0.5027629115868517,0.015000000013969839
metal_nut,0.793743890518084,0.4821156467574461,0.015000000013969839
pill,0.6642116748499727,0.5357428037335823,0.01600000000325963
screw,0.6216437794630048,0.5031628167191828,0.01600000000325963
tile,0.9552669552669553,0.509690916983631,0.0159999999741558
toothbrush,0.9611111111111111,0.44589227041440777,0.01600000000325963
transistor,0.8683333333333333,0.5101969238184129,0.0
wood,0.9666666666666666,0.5773334079565391,0.0159999999741558
zipper,0.9175420168067226,0.45675580057764165,0.01600000000325963
Average,0.8419151898274053,0.5233700154185217,0.014533333332898716
