Type,Image,Pixel,Time
bottle,0.984920634920635,0.567647243431291,0.01600000000325963
cable,0.8978635682158921,0.6262834211874543,0.03200000000651926
capsule,0.8847227762265657,0.6103018285426252,0.01600000000325963
carpet,0.9486356340288925,0.6083549547111241,0.015000000013969839
grid,0.6332497911445281,0.5524829746158769,0.030999999959021807
hazelnut,0.9707142857142858,0.8243034885867062,0.014999999955762178
leather,0.990149456521739,0.5724785151028462,0.030999999959021807
metal_nut,0.884652981427175,0.43641527697162735,0.014999999955762178
pill,0.7476813966175668,0.6800052093841966,0.015000000013969839
screw,0.806927649108424,0.5587305231885472,0.01600000000325963
tile,0.987012987012987,0.5761384498060952,0.01600000000325963
toothbrush,0.8666666666666667,0.6285156272588925,0.014999999955762178
transistor,0.9045833333333333,0.5275121222560514,0.01600000000325963
wood,0.9578947368421052,0.628111837508975,0.031000000017229468
zipper,0.9603466386554621,0.4581601150851029,0.01600000000325963
Average,0.8950681690957506,0.5903627725091609,0.019733333323771755
