Type,Image,Pixel,Time
bottle,0.9873015873015872,0.5547691676966785,0.01600000000325963
cable,0.9317841079460271,0.5658548780677582,0.014999999955762178
capsule,0.8460311128839251,0.5596097349029505,0.01600000000325963
carpet,0.9261637239165329,0.5371139367581653,0.01600000000325963
grid,0.518796992481203,0.49238708240213697,0.014999999955762178
hazelnut,0.9589285714285715,0.7751396272372091,0.0
leather,0.9758831521739131,0.5346474222896003,0.015000000013969839
metal_nut,0.9032258064516129,0.4567456245723072,0.01600000000325963
pill,0.7855973813420623,0.661640803999006,0.0
screw,0.7425701988112319,0.5561985257085881,0.01600000000325963
tile,0.9678932178932179,0.5354257907864038,0.015000000013969839
toothbrush,0.9083333333333334,0.6166693074985302,0.015000000013969839
transistor,0.9029166666666667,0.5041388775167229,0.0
wood,0.9078947368421053,0.5579144893953951,0.01600000000325963
zipper,0.9327731092436975,0.4658870521336913,0.015000000013969839
Average,0.879739579914379,0.5582761547310096,0.012399999999130766
