Type,Image,Pixel,Time
bottle,0.9888888888888889,0.5377061778548765,0.0
cable,0.8984257871064467,0.5788891778266317,0.015000000013969839
capsule,0.8117271639409652,0.5857358880440824,0.0
carpet,0.7969502407704654,0.5661884814262527,0.0
grid,0.5196324143692564,0.49492282961317435,0.0
hazelnut,0.965,0.770507095284174,0.0
leather,0.8389945652173914,0.5140457017885961,0.015000000013969839
metal_nut,0.8269794721407625,0.4926382901668009,0.0
pill,0.762138570649209,0.6146263458021715,0.0
screw,0.7399057183849149,0.5495850690784713,0.0
tile,0.9758297258297258,0.5368676796511607,0.01600000000325963
toothbrush,0.925,0.5213570805910738,0.015000000013969839
transistor,0.9333333333333333,0.4675855152309385,0.0
wood,0.9052631578947368,0.5775474662163956,0.0
zipper,0.9248949579831933,0.4575380256750261,0.0
Average,0.854197599767286,0.5510493882833216,0.004066666669677943
